url,http_status,title,meta_description,h1,word_count,template_guess,classification,last_modified,depth_from_home,inbound_link_count,is_orphan,mixed_case_url
https://adna.network/,200,aDNA — the open standard & network for shared context,"The open standard and network to build, share, and govern the context that powers AI — in the open, for the good of all. Built on the Lattice Protocol.",The aDNA Network,1055,home,marketing,"Tue, 11 Aug 2026 13:35:25 GMT",0,201,false,false
https://adna.network/about/,200,Who's behind aDNA,Who,Who's behind aDNA,657,doc-article,marketing,"Thu, 13 Aug 2026 17:42:52 GMT",1,201,false,false
https://adna.network/adopters/,200,Adopter Personas — aDNA,Quick-reference profiles for aDNA,") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> Adopter Personas",396,hub,marketing,"Sun, 16 Aug 2026 17:00:50 GMT",1,201,false,false
https://adna.network/adopters/adopter-educator/,200,Educator — aDNA,"A university professor teaching AI-augmented knowledge work, using aDNA as both syllabus and subject — the structure IS the lesson.",") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> ← Back to adopters WHO › Adopters › Educator Educator",516,persona,marketing,"Tue, 11 Aug 2026 12:26:51 GMT",2,10,false,false
https://adna.network/adopters/adopter-enterprise-team/,200,Enterprise Team — aDNA,A platform engineering team at a financial services company deploying aDNA across three concurrent AI-agent-assisted projects with compliance requirements.,") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> ← Back to adopters WHO › Adopters › Enterprise Team Enterprise Team",485,persona,marketing,"Tue, 11 Aug 2026 06:24:31 GMT",2,11,false,false
https://adna.network/adopters/adopter-researcher/,200,Researcher — aDNA,"A computational biology lab using aDNA to organize protocols, datasets, analysis pipelines, and cross-lab collaboration with FAIR metadata.",") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> ← Back to adopters WHO › Adopters › Researcher Researcher",504,persona,marketing,"Fri, 14 Aug 2026 12:14:48 GMT",2,10,false,false
https://adna.network/adopters/adopter-solo-developer/,200,Solo Developer — aDNA,"A freelance developer juggling 3-4 client projects simultaneously, using aDNA as a personal knowledge backbone for AI agent sessions.",") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> ← Back to adopters WHO › Adopters › Solo Developer Solo Developer",461,persona,marketing,"Fri, 14 Aug 2026 07:21:25 GMT",2,9,false,false
https://adna.network/adopters/adopter-startup/,200,Startup — aDNA,"A CTO of a 12-person AI startup using aDNA to capture institutional knowledge, accelerate onboarding, and make AI agents codebase-aware.",") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> ← Back to adopters WHO › Adopters › Startup Startup",495,persona,marketing,"Sat, 15 Aug 2026 13:00:51 GMT",2,10,false,false
https://adna.network/changelog/,200,Changelog — aDNA,"Version history for the aDNA documentation site — release notes, breaking changes, and improvements by version.",") comes BEFORE the sidebars in DOM so a screen reader / agent reads breadcrumb → h1 → content before the ~100 nav links. The visual column order (sidebar | content | toc) is restored via grid-template-areas below, so there is no visual change. The skip-link (#main-content) now lands on the content, not the sidebar. --> Changelog",134,changelog,meta,"Wed, 12 Aug 2026 01:30:18 GMT",1,201,false,false
https://adna.network/commons/,200,The Public-Good Commons — aDNA,"Mission-aligned subnetworks build, share, and govern shared context in the open. See the public-good work already happening on the aDNA network — and connect to it.","A commons, not a catalog.",884,registry-index,registry,"Tue, 11 Aug 2026 21:04:20 GMT",1,201,false,false
